name,lr,use_batchnorm,use_dropout,dropout_rate,best_val_loss,final_train_loss,elapsed_s
"No BN, No Dropout",0.01,False,False,0.0,0.2644507449626923,0.2683837956428528,50.328794717788696
BN only,0.01,True,False,0.0,0.010680134707689285,0.010674469459056854,59.074289083480835
Dropout only,0.01,False,True,0.2,0.2644507449626923,0.26838379592895506,60.459564208984375
BN + Dropout,0.01,True,True,0.2,0.010860759592056275,0.011396123819053174,73.6007170677185
